Catégorie : Toutes catégories

Semaine,ai: (Dans tous les pays)
2020-11-22,4
2020-11-29,4
2020-12-06,4
2020-12-13,4
2020-12-20,4
2020-12-27,4
2021-01-03,4
2021-01-10,4
2021-01-17,5
2021-01-24,4
2021-01-31,4
2021-02-07,4
2021-02-14,4
2021-02-21,4
2021-02-28,4
2021-03-07,5
2021-03-14,5
2021-03-21,5
2021-03-28,5
2021-04-04,4
2021-04-11,4
2021-04-18,5
2021-04-25,5
2021-05-02,4
2021-05-09,4
2021-05-16,4
2021-05-23,5
2021-05-30,5
2021-06-06,5
2021-06-13,5
2021-06-20,4
2021-06-27,4
2021-07-04,4
2021-07-11,4
2021-07-18,5
2021-07-25,4
2021-08-01,4
2021-08-08,4
2021-08-15,4
2021-08-22,4
2021-08-29,4
2021-09-05,5
2021-09-12,5
2021-09-19,4
2021-09-26,4
2021-10-03,5
2021-10-10,5
2021-10-17,5
2021-10-24,5
2021-10-31,5
2021-11-07,5
2021-11-14,5
2021-11-21,5
2021-11-28,5
2021-12-05,5
2021-12-12,5
2021-12-19,5
2021-12-26,5
2022-01-02,6
2022-01-09,5
2022-01-16,5
2022-01-23,5
2022-01-30,5
2022-02-06,5
2022-02-13,5
2022-02-20,5
2022-02-27,5
2022-03-06,5
2022-03-13,5
2022-03-20,6
2022-03-27,5
2022-04-03,5
2022-04-10,5
2022-04-17,5
2022-04-24,5
2022-05-01,5
2022-05-08,5
2022-05-15,5
2022-05-22,5
2022-05-29,5
2022-06-05,5
2022-06-12,6
2022-06-19,6
2022-06-26,5
2022-07-03,5
2022-07-10,6
2022-07-17,5
2022-07-24,5
2022-07-31,6
2022-08-07,6
2022-08-14,6
2022-08-21,6
2022-08-28,6
2022-09-04,6
2022-09-11,6
2022-09-18,6
2022-09-25,6
2022-10-02,7
2022-10-09,7
2022-10-16,7
2022-10-23,7
2022-10-30,7
2022-11-06,6
2022-11-13,7
2022-11-20,7
2022-11-27,8
2022-12-04,11
2022-12-11,11
2022-12-18,10
2022-12-25,8
2023-01-01,8
2023-01-08,9
2023-01-15,9
2023-01-22,11
2023-01-29,11
2023-02-05,13
2023-02-12,12
2023-02-19,12
2023-02-26,12
2023-03-05,11
2023-03-12,13
2023-03-19,14
2023-03-26,15
2023-04-02,16
2023-04-09,17
2023-04-16,20
2023-04-23,21
2023-04-30,23
2023-05-07,22
2023-05-14,22
2023-05-21,22
2023-05-28,21
2023-06-04,21
2023-06-11,23
2023-06-18,21
2023-06-25,21
2023-07-02,21
2023-07-09,21
2023-07-16,23
2023-07-23,20
2023-07-30,20
2023-08-06,20
2023-08-13,21
2023-08-20,20
2023-08-27,19
2023-09-03,20
2023-09-10,20
2023-09-17,20
2023-09-24,22
2023-10-01,24
2023-10-08,23
2023-10-15,22
2023-10-22,22
2023-10-29,22
2023-11-05,24
2023-11-12,23
2023-11-19,24
2023-11-26,24
2023-12-03,27
2023-12-10,25
2023-12-17,23
2023-12-24,21
2023-12-31,23
2024-01-07,24
2024-01-14,27
2024-01-21,24
2024-01-28,26
2024-02-04,25
2024-02-11,26
2024-02-18,30
2024-02-25,27
2024-03-03,27
2024-03-10,28
2024-03-17,27
2024-03-24,28
2024-03-31,25
2024-04-07,26
2024-04-14,28
2024-04-21,28
2024-04-28,27
2024-05-05,27
2024-05-12,28
2024-05-19,29
2024-05-26,29
2024-06-02,29
2024-06-09,30
2024-06-16,28
2024-06-23,26
2024-06-30,26
2024-07-07,27
2024-07-14,26
2024-07-21,27
2024-07-28,29
2024-08-04,28
2024-08-11,29
2024-08-18,29
2024-08-25,31
2024-09-01,31
2024-09-08,30
2024-09-15,32
2024-09-22,31
2024-09-29,32
2024-10-06,31
2024-10-13,34
2024-10-20,33
2024-10-27,33
2024-11-03,34
2024-11-10,35
2024-11-17,35
2024-11-24,33
2024-12-01,34
2024-12-08,38
2024-12-15,36
2024-12-22,32
2024-12-29,32
2025-01-05,37
2025-01-12,36
2025-01-19,38
2025-01-26,42
2025-02-02,41
2025-02-09,41
2025-02-16,42
2025-02-23,42
2025-03-02,41
2025-03-09,42
2025-03-16,43
2025-03-23,44
2025-03-30,51
2025-04-06,44
2025-04-13,42
2025-04-20,43
2025-04-27,42
2025-05-04,41
2025-05-11,42
2025-05-18,44
2025-05-25,43
2025-06-01,44
2025-06-08,48
2025-06-15,47
2025-06-22,48
2025-06-29,51
2025-07-06,45
2025-07-13,45
2025-07-20,47
2025-07-27,48
2025-08-03,54
2025-08-10,65
2025-08-17,63
2025-08-24,56
2025-08-31,72
2025-09-07,82
2025-09-14,100
2025-09-21,84
2025-09-28,80
2025-10-05,77
2025-10-12,75
2025-10-19,73
2025-10-26,70
2025-11-02,71
2025-11-09,68
2025-11-16,55
2025-11-23,54
